11.05.00 22:45:57	246	1	1	35	28971	1	28	78	37	77	81	33	29	
11.05.00 22:48:10	246	1	1	78	32876	1	25	35	37	81	33	29	77	
11.05.00 22:48:26	246	1	1	76	4748	1	29	35	78	37	31	33	29	
*** 
*** 
11.05.00 22:49:05	246	1	1	78	32876	1	25	76	36	34	31	38	29	
11.05.00 22:49:20	246	1	1	35	28971	1	28	76	78	37	79	38	29	
11.05.00 22:59:13	246	1	1	35	28971	0	28	78	37	81	29	33	77	
11.05.00 23:00:01	246	1	1	78	32876	0	25	35	37	81	29	33	77	
*** nnbmnb
11.05.00 23:00:39	246	1	1	35	28971	0	28	78	76	37	31	29	33	
11.05.00 23:00:54	246	1	1	78	32876	0	25	35	37	29	33	81	36	
11.05.00 23:01:34	246	1	1	76	4748	0	29	78	36	34	31	29	30	
*** 
*** 
11.05.00 23:02:15	246	1	1	78	32876	0	25	76	36	34	31	29	30	
11.05.00 23:02:30	246	1	1	35	28971	0	28	76	78	37	31	29	34	
*** 
11.05.00 23:04:13	24	0	0	0	0	0	28	78	37	81	33	29	36	
11.05.00 23:04:17	246	1	1	35	28971	0	28	78	37	81	33	29	36	
11.05.00 23:05:58	246	1	1	78	32876	0	25	35	37	81	29	33	36	
11.05.00 23:06:14	246	1	1	35	28971	0	28	78	76	37	31	33	29	
11.05.00 23:06:43	246	1	1	78	32876	0	25	35	37	81	29	33	36	
11.05.00 23:06:59	246	1	1	35	28971	0	28	78	76	37	31	29	33	
31.05.00 21:51:44	246	1	1	29	28970	0	28	33	31	38	78	35	76	
31.05.00 21:51:54	246	1	1	78	32876	0	25	33	32	38	76	35	31	
